Date,Average rating
"2025-05-16","5.6"
"2025-05-17","6.3"
"2025-05-18","5.7"
"2025-05-19","5.3"
"2025-05-20","5.4"
"2025-05-21","5.3"
"2025-05-22","5.6"
"2025-05-23","5.7"
"2025-05-24","5.9"
"2025-05-25","5.8"
"2025-05-26","5.7"
"2025-05-27","5.9"
"2025-05-28","5.8"
"2025-05-29","5.9"
"2025-05-30","5.5"
"2025-05-31","6.5"
"2025-06-01","5.6"
"2025-06-02","7.1"
"2025-06-03","5.1"
"2025-06-04","7.3"
"2025-06-05","7.8"
"2025-06-06","7.8"
"2025-06-07","6.4"
"2025-06-08","6.8"
"2025-06-09","5.3"
"2025-06-10","5.8"
"2025-06-11","6.8"
"2025-06-12","5.3"
"2025-06-13","7.1"
"2025-06-14","5.4"
"2025-06-15","5.6"
"2025-06-16","7.5"
"2025-06-17","5.5"
"2025-06-18","4"
"2025-06-19","6.9"
"2025-06-20","6.8"
"2025-06-21","7.1"
"2025-06-22","6.4"
"2025-06-23","6.2"
"2025-06-24","6.1"
"2025-06-25","4.7"
"2025-06-26","8.3"
"2025-06-27","7"
"2025-06-28","5.5"
"2025-06-29","5.1"
"2025-06-30","6"
"2025-07-01","7.5"
"2025-07-02","6.8"
"2025-07-03","6.1"
"2025-07-04","6.3"
"2025-07-05","6.7"
"2025-07-06","6.5"
"2025-07-07","4.8"
"2025-07-08","6.5"
"2025-07-09","7.7"
"2025-07-10","6.1"
"2025-07-11","6.5"
"2025-07-12","7.4"
"2025-07-13","6.1"
"2025-07-14","6.8"
"2025-07-15","5.8"
"2025-07-16","6.8"
"2025-07-17","8.9"
"2025-07-18","7.5"
"2025-07-19","5.7"
"2025-07-20","4.9"
"2025-07-21","5.6"
"2025-07-22","5.6"
"2025-07-23","5.2"
"2025-07-24","7"
"2025-07-25","5"
"2025-07-26","6.4"
"2025-07-27","7.8"
"2025-07-28","6.3"
"2025-07-29","6"
"2025-07-30","5.6"
"2025-07-31","7.3"
"2025-08-01","6.6"
"2025-08-02","5.7"
"2025-08-03","6"
"2025-08-04","4.7"
"2025-08-05","6.1"
"2025-08-06","5"
"2025-08-07","5.9"
"2025-08-08","8"
"2025-08-09","5.6"
"2025-08-10","8.2"
"2025-08-11","6.6"
"2025-08-12","8.7"
"2025-08-13","7.5"
"2025-08-14","5.3"
"2025-08-15","7.2"
"2025-08-16","6.5"
"2025-08-17","7.2"
"2025-08-18","4.5"
"2025-08-19","5.4"
"2025-08-20","10"
"2025-08-21","4"
"2025-08-22","10"
"2025-08-23","7"
"2025-08-24","6.8"
"2025-08-25","9"
"2025-08-26","7"
"2025-08-27","7"
"2025-08-28","6.5"
"2025-08-29","8.7"
"2025-08-30","10"
"2025-09-01","10"
"2025-09-02","10"
"2025-09-05","4.5"
"2025-09-06","1.5"
"2025-09-07","9"
"2025-09-08","7"
"2025-09-09","10"
"2025-09-11","9"
"2025-09-15","10"
"2025-09-16","8"
"2025-09-19","9"
"2025-09-21","10"
"2025-09-24","10"
"2025-09-28","10"
"2025-10-03","10"
"2025-10-06","10"
"2025-10-11","10"
"2025-10-12","9.5"
"2025-10-14","10"
