Date,Yes,No
"2025-05-16","53","45"
"2025-05-17","244","218"
"2025-05-18","239","245"
"2025-05-19","119","115"
"2025-05-20","134","173"
"2025-05-21","292","409"
"2025-05-22","279","358"
"2025-05-23","302","331"
"2025-05-24","316","287"
"2025-05-25","258","268"
"2025-05-26","182","180"
"2025-05-27","145","150"
"2025-05-28","163","163"
"2025-05-29","77","79"
"2025-05-30","83","68"
"2025-05-31","32","37"
"2025-06-01","35","24"
"2025-06-02","24","20"
"2025-06-03","17","9"
"2025-06-04","11","8"
"2025-06-05","8","3"
"2025-06-06","11","3"
"2025-06-07","14","4"
"2025-06-08","8","6"
"2025-06-09","10","5"
"2025-06-10","4","4"
"2025-06-11","5","5"
"2025-06-12","8","5"
"2025-06-13","2","8"
"2025-06-14","2","2"
"2025-06-15","14","13"
"2025-06-16","14","10"
"2025-06-17","19","15"
"2025-06-18","7","14"
"2025-06-19","8","10"
"2025-06-20","8","6"
"2025-06-21","27","26"
"2025-06-22","21","10"
"2025-06-23","15","9"
"2025-06-24","17","19"
"2025-06-25","18","10"
"2025-06-26","15","9"
"2025-06-27","19","11"
"2025-06-28","14","17"
"2025-06-29","15","10"
"2025-06-30","21","17"
"2025-07-01","21","10"
"2025-07-02","19","11"
"2025-07-03","12","9"
"2025-07-04","13","10"
"2025-07-05","13","13"
"2025-07-06","6","12"
"2025-07-07","5","8"
"2025-07-08","7","10"
"2025-07-09","7","3"
"2025-07-10","11","8"
"2025-07-11","9","9"
"2025-07-12","16","10"
"2025-07-13","16","14"
"2025-07-14","16","11"
"2025-07-15","4","9"
"2025-07-16","6","9"
"2025-07-17","3","3"
"2025-07-18","10","5"
"2025-07-19","6","8"
"2025-07-20","4","9"
"2025-07-21","7","10"
"2025-07-22","9","8"
"2025-07-23","10","6"
"2025-07-24","13","4"
"2025-07-25","11","11"
"2025-07-26","11","11"
"2025-07-27","10","12"
"2025-07-28","9","11"
"2025-07-29","7","7"
"2025-07-30","5","5"
"2025-07-31","2","10"
"2025-08-01","10","3"
"2025-08-02","12","13"
"2025-08-03","10","13"
"2025-08-04","9","13"
"2025-08-05","10","3"
"2025-08-06","10","5"
"2025-08-07","4","3"
"2025-08-08","7","7"
"2025-08-09","14","5"
"2025-08-10","7","4"
"2025-08-11","3","10"
"2025-08-12","3","4"
"2025-08-13","3","7"
"2025-08-14","9","5"
"2025-08-15","7","3"
"2025-08-16","6","8"
"2025-08-17","6","8"
"2025-08-18","4","5"
"2025-08-19","7","1"
"2025-08-20","1","0"
"2025-08-21","1","1"
"2025-08-23","7","3"
"2025-08-24","2","3"
"2025-08-25","2","0"
"2025-08-26","2","1"
"2025-08-27","0","2"
"2025-08-29","1","0"
"2025-08-31","0","1"
"2025-09-01","0","1"
"2025-09-02","0","1"
"2025-09-04","1","1"
"2025-09-06","2","1"
"2025-09-07","1","0"
"2025-09-08","2","0"
"2025-09-13","2","1"
"2025-09-17","1","0"
"2025-09-20","0","2"
"2025-09-21","1","0"
"2025-09-22","0","1"
"2025-09-25","1","1"
"2025-09-26","1","0"
"2025-09-27","1","0"
"2025-09-29","1","0"
"2025-10-02","1","0"
"2025-10-03","0","1"
"2025-10-04","0","1"
"2025-10-08","0","1"
"2025-10-13","0","1"
"2025-10-18","1","0"
"2025-10-23","1","0"
"2025-10-24","1","0"
"2025-10-25","2","0"
"2025-10-28","0","1"
