Session Time (mins),# of sessions
"1","185,627"
"2","214,080"
"3","194,657"
"4","173,214"
"5","150,364"
"6","130,295"
"7","114,527"
"8","102,180"
"9","91,235"
"10","81,076"
"11","74,430"
"12","67,886"
"13","62,486"
"14","57,943"
"15","53,838"
"16","50,534"
"17","47,263"
"18","44,392"
"19","41,700"
"20","39,194"
"21","36,471"
"22","34,005"
"23","32,170"
"24","30,411"
"25","28,667"
"26","26,324"
"27","24,828"
"28","23,322"
"29","21,831"
"30","20,548"
"31","18,972"
"32","17,849"
"33","16,531"
"34","15,493"
"35","14,521"
"36","13,714"
"37","12,795"
"38","12,040"
"39","11,508"
"40","10,653"
"41","10,063"
"42","9,353"
"43","9,061"
"44","8,463"
"45","8,204"
"46","7,488"
"47","7,155"
"48","6,831"
"49","6,512"
"50","6,085"
"51","5,787"
"52","5,583"
"53","5,101"
"54","4,907"
"55","4,624"
"56","4,543"
"57","4,232"
"58","3,987"
"59","4,317"
"60","4,429"
"61","3,845"
"62","3,647"
"63","3,519"
"64","3,251"
"65","3,123"
"66","3,116"
"67","2,909"
"68","2,711"
"69","2,712"
"70","2,544"
"71","2,395"
"72","2,277"
"73","2,185"
"74","2,151"
"75","2,032"
"76","1,927"
"77","1,833"
"78","1,727"
"79","1,647"
"80","1,670"
"81","1,550"
"82","1,509"
"83","1,450"
"84","1,411"
"85","1,381"
"86","1,306"
"87","1,224"
"88","1,153"
"89","1,143"
"90","1,150"
"91","1,083"
"92","1,043"
"93","1,044"
"94","1,015"
"95","956"
"96","892"
"97","873"
"98","849"
"99","856"
"100","710"
"101","726"
"102","724"
"103","664"
"104","695"
"105","679"
"106","645"
"107","597"
"108","596"
"109","543"
"110","561"
"111","550"
"112","502"
"113","476"
"114","535"
"115","477"
"116","456"
"117","433"
"118","481"
"119","435"
"120","449"
"121","450"
"122","409"
"123","421"
"124","381"
"125","387"
"126","325"
"127","340"
"128","317"
"129","323"
"130","307"
"131","281"
"132","304"
"133","283"
"134","277"
"135","242"
"136","275"
"137","253"
"138","241"
"139","204"
"140","226"
"141","252"
"142","215"
"143","219"
"144","208"
"145","221"
"146","216"
"147","220"
"148","190"
"149","175"
"150","152"
"151","171"
"152","152"
"153","147"
"154","167"
"155","141"
"156","163"
"157","139"
"158","143"
"159","121"
"160","117"
"161","133"
"162","138"
"163","128"
"164","130"
"165","123"
"166","117"
"167","103"
"168","121"
"169","98"
"170","119"
"171","95"
"172","104"
"173","101"
"174","91"
"175","94"
"176","77"
"177","93"
"178","77"
"179","79"
"180","95"
"181","80"
"182","67"
"183","73"
"184","80"
"185","70"
"186","69"
"187","53"
"188","70"
"189","56"
"190","78"
"191","65"
"192","58"
"193","58"
"194","67"
"195","49"
"196","58"
"197","57"
"198","52"
"199","54"
"200","53"
"201","60"
"202","56"
"203","39"
"204","33"
"205","52"
"206","47"
"207","39"
"208","38"
"209","37"
"210","49"
"211","46"
"212","29"
"213","42"
"214","26"
"215","44"
"216","43"
"217","42"
"218","36"
"219","34"
"220","27"
"221","27"
"222","32"
"223","33"
"224","26"
"225","18"
"226","23"
"227","27"
"228","29"
"229","30"
"230","26"
"231","32"
"232","27"
"233","39"
"234","27"
"235","26"
"236","26"
"237","21"
"238","30"
"239","19"
"240","26"
"241","28"
"242","16"
"243","11"
"244","16"
"245","17"
"246","15"
"247","16"
"248","19"
"249","16"
"250","14"
"251","18"
"252","13"
"253","17"
"254","17"
"255","17"
"256","12"
"257","12"
"258","19"
"259","10"
"260","12"
"261","18"
"262","14"
"263","8"
"264","16"
"265","10"
"266","11"
"267","18"
"268","11"
"269","6"
"270","13"
"271","9"
"272","10"
"273","9"
"274","14"
"275","11"
"276","13"
"277","10"
"278","12"
"279","12"
"280","13"
"281","8"
"282","10"
"283","8"
"284","9"
"285","7"
"286","8"
"287","7"
"288","8"
"289","5"
"290","5"
"291","7"
"292","4"
"293","5"
"294","1"
"295","11"
"296","13"
"297","5"
"298","9"
"299","9"
"300","5"
"301","7"
"302","7"
"303","8"
"304","5"
"305","6"
"306","3"
"307","4"
"308","2"
"309","2"
"310","6"
"311","9"
"312","0"
"313","3"
"314","1"
"315","7"
"316","6"
"317","5"
"318","3"
"319","5"
"320","4"
"321","10"
"322","4"
"323","4"
"324","5"
"325","2"
"326","1"
"327","8"
"328","7"
"329","4"
"330","6"
"331","2"
"332","0"
"333","3"
"334","7"
"335","5"
"336","5"
"337","6"
"338","2"
"339","7"
"340","1"
"341","0"
"342","6"
"343","4"
"344","3"
"345","6"
"346","1"
"347","4"
"348","4"
"349","0"
"350","4"
"351","3"
"352","2"
"353","1"
"354","0"
"355","2"
"356","2"
"357","2"
"358","1"
"359","1"
"360","3"
"361","3"
"362","2"
"363","2"
"364","2"
"365","1"
"366","1"
"367","3"
"368","4"
"369","2"
"370","0"
"371","3"
"372","4"
"373","2"
"374","2"
"375","2"
"376","0"
"377","1"
"378","0"
"379","0"
"380","0"
"381","1"
"382","1"
"383","2"
